PLOT NO.,Age,Ground Cover,Slope_Class,PLOT SIZE_M2,YEAR,MONTH ,DAY,RAINFALL_MM,TOTAL_L
1,0,A,C,222.57,2005,8,4,30.6,170
1,0,A,C,222.57,2005,8,6,19,520
1,0,A,C,222.57,2005,8,10,16,210
1,0,A,C,222.57,2005,8,14,6,10
1,0,A,C,222.57,2005,8,18,1,0
1,0,A,C,222.57,2005,8,19,11,10
1,0,A,C,222.57,2005,8,20,11.6,240
1,0,A,C,222.57,2005,8,22,2.4,0
1,0,A,C,222.57,2005,8,23,10,30
1,0,A,C,222.57,2005,8,25,4.4,0
1,0,A,C,222.57,2005,8,26,1,0
1,0,A,C,222.57,2005,8,28,3,0
1,0,A,C,222.57,2005,8,29,2.8,0
2,0,A,A,219.5,2005,8,4,30.6,570
2,0,A,A,219.5,2005,8,6,19,620
2,0,A,A,219.5,2005,8,10,16,270
2,0,A,A,219.5,2005,8,14,6,10
2,0,A,A,219.5,2005,8,18,1,0
2,0,A,A,219.5,2005,8,19,11,10
2,0,A,A,219.5,2005,8,20,11.6,310
2,0,A,A,219.5,2005,8,22,2.4,0
2,0,A,A,219.5,2005,8,23,10,60
2,0,A,A,219.5,2005,8,25,4.4,0
2,0,A,A,219.5,2005,8,26,1,0
2,0,A,A,219.5,2005,8,28,3,0
2,0,A,A,219.5,2005,8,29,2.8,0
3,0,A,A,218.69,2005,8,4,30.6,940
3,0,A,A,218.69,2005,8,6,19,580
3,0,A,A,218.69,2005,8,10,16,160
3,0,A,A,218.69,2005,8,14,6,10
3,0,A,A,218.69,2005,8,18,1,0
3,0,A,A,218.69,2005,8,19,11,10
3,0,A,A,218.69,2005,8,20,11.6,220
3,0,A,A,218.69,2005,8,22,2.4,0
3,0,A,A,218.69,2005,8,23,10,30
3,0,A,A,218.69,2005,8,25,4.4,0
3,0,A,A,218.69,2005,8,26,1,0
3,0,A,A,218.69,2005,8,28,3,0
3,0,A,A,218.69,2005,8,29,2.8,0
4,0,A,A,218.49,2005,8,4,30.6,1313
4,0,A,A,218.49,2005,8,6,19,760
4,0,A,A,218.49,2005,8,10,16,430
4,0,A,A,218.49,2005,8,14,6,40
4,0,A,A,218.49,2005,8,18,1,0
4,0,A,A,218.49,2005,8,19,11,75
4,0,A,A,218.49,2005,8,20,11.6,410
4,0,A,A,218.49,2005,8,22,2.4,0
4,0,A,A,218.49,2005,8,23,10,160
4,0,A,A,218.49,2005,8,25,4.4,15
4,0,A,A,218.49,2005,8,26,1,0
4,0,A,A,218.49,2005,8,28,3,0
4,0,A,A,218.49,2005,8,29,2.8,0
5,0,A,A,218.61,2005,8,4,30.6,370
5,0,A,A,218.61,2005,8,6,19,950
5,0,A,A,218.61,2005,8,10,16,460
5,0,A,A,218.61,2005,8,14,6,15
5,0,A,A,218.61,2005,8,18,1,0
5,0,A,A,218.61,2005,8,19,11,10
5,0,A,A,218.61,2005,8,20,11.6,400
5,0,A,A,218.61,2005,8,22,2.4,0
5,0,A,A,218.61,2005,8,23,10,75
5,0,A,A,218.61,2005,8,25,4.4,5
5,0,A,A,218.61,2005,8,26,1,0
5,0,A,A,218.61,2005,8,28,3,0
5,0,A,A,218.61,2005,8,29,2.8,0
6,0,A,C,218.03,2005,8,4,30.6,1020
6,0,A,C,218.03,2005,8,6,19,820
6,0,A,C,218.03,2005,8,10,16,420
6,0,A,C,218.03,2005,8,14,6,10
6,0,A,C,218.03,2005,8,18,1,0
6,0,A,C,218.03,2005,8,19,11,15
6,0,A,C,218.03,2005,8,20,11.6,370
6,0,A,C,218.03,2005,8,22,2.4,0
6,0,A,C,218.03,2005,8,23,10,75
6,0,A,C,218.03,2005,8,25,4.4,10
6,0,A,C,218.03,2005,8,26,1,0
6,0,A,C,218.03,2005,8,28,3,0
6,0,A,C,218.03,2005,8,29,2.8,0
7,0,A,A,218.08,2005,8,4,30.6,1145
7,0,A,A,218.08,2005,8,6,19,580
7,0,A,A,218.08,2005,8,10,16,300
7,0,A,A,218.08,2005,8,14,6,30
7,0,A,A,218.08,2005,8,18,1,0
7,0,A,A,218.08,2005,8,19,11,40
7,0,A,A,218.08,2005,8,20,11.6,310
7,0,A,A,218.08,2005,8,22,2.4,0
7,0,A,A,218.08,2005,8,23,10,70
7,0,A,A,218.08,2005,8,25,4.4,0
7,0,A,A,218.08,2005,8,26,1,0
7,0,A,A,218.08,2005,8,28,3,0
7,0,A,A,218.08,2005,8,29,2.8,0
8,0,B,C,217.88,2005,8,4,30.6,1837
8,0,B,C,217.88,2005,8,6,19,650
8,0,B,C,217.88,2005,8,10,16,400
8,0,B,C,217.88,2005,8,14,6,40
8,0,B,C,217.88,2005,8,18,1,0
8,0,B,C,217.88,2005,8,19,11,15
8,0,B,C,217.88,2005,8,20,11.6,250
8,0,B,C,217.88,2005,8,22,2.4,0
8,0,B,C,217.88,2005,8,23,10,100
8,0,B,C,217.88,2005,8,25,4.4,10
8,0,B,C,217.88,2005,8,26,1,0
8,0,B,C,217.88,2005,8,28,3,0
8,0,B,C,217.88,2005,8,29,2.8,0
9,0,B,C,217.3,2005,8,4,30.6,0
9,0,B,C,217.3,2005,8,6,19,10
9,0,B,C,217.3,2005,8,10,16,5
9,0,B,C,217.3,2005,8,14,6,0
9,0,B,C,217.3,2005,8,18,1,0
9,0,B,C,217.3,2005,8,19,11,0
9,0,B,C,217.3,2005,8,20,11.6,5
9,0,B,C,217.3,2005,8,22,2.4,0
9,0,B,C,217.3,2005,8,23,10,0
9,0,B,C,217.3,2005,8,25,4.4,0
9,0,B,C,217.3,2005,8,26,1,0
9,0,B,C,217.3,2005,8,28,3,0
9,0,B,C,217.3,2005,8,29,2.8,0
10,0,B,C,221.45,2005,8,4,30.6,0
10,0,B,C,221.45,2005,8,6,19,90
10,0,B,C,221.45,2005,8,10,16,40
10,0,B,C,221.45,2005,8,14,6,5
10,0,B,C,221.45,2005,8,18,1,0
10,0,B,C,221.45,2005,8,19,11,0
10,0,B,C,221.45,2005,8,20,11.6,10
10,0,B,C,221.45,2005,8,22,2.4,0
10,0,B,C,221.45,2005,8,23,10,10
10,0,B,C,221.45,2005,8,25,4.4,0
10,0,B,C,221.45,2005,8,26,1,0
10,0,B,C,221.45,2005,8,28,3,0
10,0,B,C,221.45,2005,8,29,2.8,0
11,0,A,A,220.43,2005,8,4,30.6,0
11,0,A,A,220.43,2005,8,6,19,770
11,0,A,A,220.43,2005,8,10,16,280
11,0,A,A,220.43,2005,8,14,6,40
11,0,A,A,220.43,2005,8,18,1,0
11,0,A,A,220.43,2005,8,19,11,45
11,0,A,A,220.43,2005,8,20,11.6,210
11,0,A,A,220.43,2005,8,22,2.4,0
11,0,A,A,220.43,2005,8,23,10,70
11,0,A,A,220.43,2005,8,25,4.4,10
11,0,A,A,220.43,2005,8,26,1,0
11,0,A,A,220.43,2005,8,28,3,0
11,0,A,A,220.43,2005,8,29,2.8,0
12,0,A,C,217.49,2005,8,4,30.6,0
12,0,A,C,217.49,2005,8,6,19,270
12,0,A,C,217.49,2005,8,10,16,90
12,0,A,C,217.49,2005,8,14,6,10
12,0,A,C,217.49,2005,8,18,1,0
12,0,A,C,217.49,2005,8,19,11,10
12,0,A,C,217.49,2005,8,20,11.6,90
12,0,A,C,217.49,2005,8,22,2.4,0
12,0,A,C,217.49,2005,8,23,10,15
12,0,A,C,217.49,2005,8,25,4.4,0
12,0,A,C,217.49,2005,8,26,1,0
12,0,A,C,217.49,2005,8,28,3,0
12,0,A,C,217.49,2005,8,29,2.8,0
13,0,B,A,220.97,2005,8,4,30.6,280
13,0,B,A,220.97,2005,8,6,19,160
13,0,B,A,220.97,2005,8,10,16,40
13,0,B,A,220.97,2005,8,14,6,10
13,0,B,A,220.97,2005,8,18,1,0
13,0,B,A,220.97,2005,8,19,11,5
13,0,B,A,220.97,2005,8,20,11.6,30
13,0,B,A,220.97,2005,8,22,2.4,0
13,0,B,A,220.97,2005,8,23,10,10
13,0,B,A,220.97,2005,8,25,4.4,0
13,0,B,A,220.97,2005,8,26,1,0
13,0,B,A,220.97,2005,8,28,3,0
13,0,B,A,220.97,2005,8,29,2.8,0
14,0,B,B,220.95,2005,8,4,30.6,110
14,0,B,B,220.95,2005,8,6,19,130
14,0,B,B,220.95,2005,8,10,16,30
14,0,B,B,220.95,2005,8,14,6,0
14,0,B,B,220.95,2005,8,18,1,0
